 262 128.365     982 114.672    1702 108.156    2422 104.267    3142 210.313
 263 112.869     983 110.803    1703 111.033    2423 101.965    3143 215.394
 264 106.358     984 109.08     1704 111.484    2424 102.427    3144 208.89
 265 102.424     985 108.084    1705 109.761    2425 105.884    3145 142.265
 266 110.319     986 111.273    1706 108.798    2426 107.057    3146  96.7302
 267 141.361     987 121.967    1707 107.811    2427 105.153    3147  98.7831
 268 141.706     988 121.717    1708 108.247    2428  87.5932   3148 102.273
 269 111.895     989 110.436    1709 110.52     2429  59.1586   3149 106.914
 270 108.83      990 107.921    1710 111.25     2430  59.2993   3150 106.334
 271 128.493     991 111.299    1711 110.671    2431  87.2661   3151 100.52
 272 129.668     992 111.579    1712 106.169    2432  96.5293   3152  99.9505
 273 112.082     993 108.36     1713  94.7777   2433  80.563    3153 103.371
 274 108.31      994 104.246    1714  93.864    2434  85.4445   3154  96.4829
 275 113.541     995  95.9045   1715 102.275    2435 125.113    3155  78.3935
 276 114.303     996  92.4078   1716 105.778    2436 138.778    3156  78.5179
 277 110.691     997  89.1349   1717 106.283    2437 131.885    3157  96.9968
 278 109.527     998  83.5112   1718 102.879    2438 136.365    3158  82.7419
 279 109.698     999  72.4871   1719  93.9465   2439 152.32     3159  52.6135
 280 110.084    1000  73.1011   1720  94.6334   2440 101.69     3160  60.1756
 281 110.945    1001  86.0358   1721 106.394    2441  46.7762   3161 167.667
 282 110.806    1002  79.2947   1722 109.724    2442  53.6414   3162 177.032
 283 109.84     1003  56.5472   1723 103.646    2443 194.026    3163  84.6729
 284 112.925    1004  51.7075   1724  83.7781   2444 218.834    3164  75.4982
 285 123.46     1005  52.3369   1725  55.2612   2445 227.433    3165 114.097
 286 124.923    1006  51.3233   1726  51.6751   2446 220.704    3166 121.63
 287 118.471    1007  47.642    1727  58.6928   2447 164.672    3167  87.7574
 288 115.938    1008  47.4544   1728  52.9938   2448 132.932    3168  82.2608
 289 114.97     1009  50.6545   1729  37.9697   2449 208.475    3169  92.9643
 290 115.027    1010  53.875    1730  40.066    2450 215.813    3170  95.3957
 291 116.199    1011  61.1943   1731  72.252    2451 213.447    3171  88.4717
 292 119.131    1012  63.8327   1732 108.101    2452 215.139    3172  80.0576
 293 126.391    1013  62.9566   1733 134.464    2453 221.571    3173  68.1109
 294 122.994    1014  62.7134   1734 132.294    2454 218.259    3174  84.8451
 295 106.839    1015  63.3105   1735 106.039    2455 191.083    3175 185.693
 296 102.109    1016  66.164    1736 104.775    2456 144.621    3176 201.903
 297 102.526    1017  75.3389   1737 125.996    2457  95.5276   3177 206.195
 298 102.528    1018  86.3397   1738 120.341    2458  84.3072   3178 207.997
 299 101.622    1019 118.203    1739  86.5665   2459  82.5606   3179 207.366
 300 106.454    1020 130.257    1740  86.779    2460  91.0666   3180 214.164
 301 125.551    1021 105.731    1741 111.311    2461  47.5882   3181  65.4096
 302 119.055    1022 112.938    1742 110.695    2462  45.4998   3182  56.0919
 303 101.569    1023 152.27     1743 120.622    2463  89.1414   3183  60.0545
 304  99.4891   1024 157.378    1744 124.722    2464 105.84     3184  72.6799
 305 109.599    1025 137.406    1745 127.044    2465  67.2792   3185 137.534
 306 113.64     1026 127.325    1746 124.398    2466  52.1023   3186 158.803
 307 113.938    1027 119.961    1747 114.824    2467  37.9208   3187 144.878
 308 113.176    1028 115.039    1748 112.577    2468  39.8786   3188 162.581
 309 111        1029 108.302    1749 115.145    2469  73.0405   3189 198.288
 310 110.248    1030 115.836    1750 116.754    2470  89.7811   3190 196.746
 311 110.316    1031 146.917    1751 118.695    2471  60.42     3191 146.701
 312 112.612    1032 153.875    1752 118.589    2472  66.5137   3192 157.085
 313 119.433    1033 145.931    1753 116.4      2473 155.332    3193 206.809
 314 120.93     1034 146.69     1754 115.499    2474 174.716    3194 211.327
 315 118.253    1035 156.722    1755 115.346    2475 131.324    3195 200.541
 316 115.152    1036 151.586    1756 119.041    2476 105.584    3196 211.474
 317 109.424    1037 123.395    1757 130.139    2477  86.3566   3197 229.993
 318 111.79     1038 114.479    1758 128.529    2478  85.0469   3198 233.797
 319 125.315    1039 115.907    1759 112.885    2479  98.6469   3199 234.208
 320 131.381    1040 117.286    1760 107.878    2480 105.924    3200 229.17
 321 134.626    1041 118.825    1761 107.971    2481 110.354    3201 208.501
 322 130.535    1042 115.669    1762 109.144    2482 108.951    3202 203.068
 323 115.447    1043 105.703    1763 112.153    2483 101.497    3203 222.129
 324 107.044    1044 104.325    1764 112.765    2484 100.819    3204 216.239
 325  98.1137   1045 109.795    1765 111.482    2485 106.054    3205 163.508
 326 102.642    1046 113.274    1766 110.4      2486 107.323    3206 104.964
 327 128.1      1047 117.449    1767 108.492    2487 103.461    3207  98.4501
 328 129.529    1048 116.531    1768 106.925    2488  84.7575   3208 100.357
 329 107.265    1049 110.059    1769 104.512    2489  56.3286   3209 109.918
 330 105.446    1050 108.974    1770 108.066    2490  56.5867   3210 109.883
 331 121.611    1051 112.055    1771 121.418    2491  85.8795   3211 100.645
 332 123.209    1052 111.7      1772 119.924    2492 105.32     3212  99.8695
 333 110.545    1053 107.243    1773 103.276    2493 110.335    3213 105.984
 334 109.445    1054 104.214    1774 100.272    2494 111.19     3214  98.9257
 335 118.495    1055  99.709    1775 106.737    2495 111.188    3215  78.7115
 336 117.099    1056  96.988    1776 108.255    2496 119.707    3216  77.9864
 337 104.417    1057  92.8368   1777 105.34     2497 149.195    3217  94.1481
 338 102.507    1058  88.0589   1778 104.181    2498 151.093    3218  80.3498
 339 108.691    1059  79.1666   1779 103.355    2499 126.759    3219  50.9419
 340 111.291    1060  78.6746   1780  98.5348   2500 111.836    3220  53.4883
 341 112.044    1061  84.6443   1781  86.7509   2501  97.809    3221  99.9224
 342 112.38     1062  73.8586   1782  84.066    2502 129.412    3222 132.419
 343 112.974    1063  51.4202   1783  85.3021   2503 199.971    3223 128.819
 344 114.661    1064  48.9762   1784  74.7215   2504 217.497    3224 122.523
 345 119.064    1065  57.3164   1785  53.8187   2505 227.322    3225 110.23
 346 119.122    1066  59.481    1786  48.4071   2506 222.208    3226  97.9585
 347 114.92     1067  55.3026   1787  46.5009   2507 184.306    3227  77.1725
 348 113.117    1068  51.8155   1788  46.5826   2508 149.295    3228  68.8601
